,up40_gnn,up20_gnn,up40_t,up20_t,up40_x,up20_x,up40_tree,up20_tree
0,6.3424683,6.816101,0.572052,1.7641907,-1.6281738,-2.2199707,-1.6412354,5.2740173
1,6.503601,7.63855,3.2122498,7.831482,3.8884888,1.5587158,4.613983,-1.8176575
2,5.628296,6.616638,9.127869,9.994324,2.5453186,3.9654846,5.0918274,5.502411
3,6.131958,6.0686035,4.04187,2.5252075,2.0925598,-3.025055,4.5855103,-0.68359375
4,-3.2283478,-1.529541,2.5458984,5.1341553,3.512085,1.4490051,6.183716,13.265747
5,3.373993,1.989685,3.0126038,2.2267456,3.9721375,2.5959167,0.45367432,-6.7714844
6,5.5295105,4.883972,7.9361877,4.504608,1.7858582,5.0146484,3.7694092,3.8289795
7,5.5438232,5.138977,1.3345642,4.8381653,6.5711975,5.6058655,4.273407,4.7100525
8,-0.9035721,2.8974304,2.109558,4.7060547,3.8784485,2.181427,2.732788,4.684662
9,9.503296,8.244293,0.29135132,-1.4252625,4.985779,7.913208,7.7805176,19.985504
